"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000116217.1","ENSMUSG00000116217.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104218.1","RP24-374C7.1",8,2,2,4,3,3,14,8,3,3,5,1
"ENSMUSG00000034022.8","Cpsf1",29,39,13,68,24,6,67,32,40,37,30,36
"ENSMUSG00000102241.1","RP23-308M1.1",0,1,0,0,0,0,1,1,0,0,2,0
"ENSMUSG00000089768.2","Tmsb15b1",1,0,0,1,0,0,0,4,6,0,4,0
"ENSMUSG00000025531.14","Chm",72,45,42,111,74,23,88,58,105,59,43,22
"ENSMUSG00000062028.8","Irgc1",1,0,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000076431.4","Sox4",39,48,20,63,31,26,54,53,57,52,35,32
"ENSMUSG00000048142.9","Nat8l",8,1,1,2,1,4,4,1,5,6,1,7
"ENSMUSG00000022965.8","Ifngr2",272,327,200,485,270,174,582,421,562,305,299,224
"ENSMUSG00000092305.1","Prps1l1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099488.1","Gm19774",1,1,0,2,0,0,0,1,3,1,0,0
"ENSMUSG00000051855.15","Mest",5,0,0,3,0,1,0,3,0,8,2,4
"ENSMUSG00000032816.15","Igdcc4",1,2,0,0,0,0,5,1,1,1,0,0
"ENSMUSG00000028419.5","Chmp5",279,272,210,399,210,146,404,267,309,304,196,131
"ENSMUSG00000039840.8","Epg5",15,6,3,31,9,2,11,21,22,13,8,8
"ENSMUSG00000114712.1","ENSMUSG00000114712.1",0,0,0,0,0,0,0,0,3,0,0,0
"ENSMUSG00000090125.3","Pou3f1",0,0,0,0,1,1,5,1,5,0,2,1
"ENSMUSG00000023007.15","Prpf40b",4,4,3,0,1,5,10,1,5,2,1,5
"ENSMUSG00000027239.14","Mdk",6,11,0,15,3,3,14,9,17,10,11,2
"ENSMUSG00000082189.1","Gm4784",12,7,3,14,5,0,10,2,13,5,2,2
"ENSMUSG00000022661.14","Cd200",13,9,12,18,4,2,9,9,4,23,16,16
"ENSMUSG00000107441.1","ENSMUSG00000107441.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063146.11","Clip2",9,1,1,11,3,1,11,5,8,1,2,2
"ENSMUSG00000081606.1","Gm9059",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037999.13","Arap2",10,13,9,9,15,0,15,15,5,2,7,7
"ENSMUSG00000095676.1","Gm25099",0,0,0,1,0,0,0,0,0,0,0,0
